index,name,lat,lon,context
3440,States,,,"['that', 'he', 'asked', 'for', '.', 'His', 'operations', 'in', 'the', 'purchase', 'of', 'cattle', 'in', 'Virginia', ',', 'Ohio', ',', 'and', 'other', 'States', 'were', 'vast', ',', 'amounting', ',', 'in', 'fact', ',', 'to', 'an', 'entire', 'monopoly', 'of', 'the', 'business', 'of', 'supplying', 'beef', 'to', 'Eastern']"
3616,United States Bank,37.99066,-81.4265,"['at', 'from', 'ten', 'to', 'twelve', 'per', 'cent', '.', 'under', 'their', 'face', 'value', ',', 'having', 'previously', 'given', 'the', 'United', 'States', 'Bank', 'his', 'own', 'note', 'at', 'four', 'months', 'for', 'the', 'entire', 'amount', '.', 'He', 'would', 'take', 'his', 'pay', 'from', 'the', 'Third', 'National']"
3642,Virginia,-28.10391,26.86593,"['for', 'the', 'entire', 'amount', '.', 'He', 'would', 'take', 'his', 'pay', 'from', 'the', 'Third', 'National', 'brokerage', 'counter', 'in', 'packages', 'of', 'Virginia', ',', 'Ohio', ',', 'and', 'western', 'Pennsylvania', 'bank-notes', 'at', 'par', ',', 'because', 'he', 'made', 'his', 'disbursements', 'principally', 'in', 'those', 'States', '.']"
3644,Ohio,31.53933,-98.08614,"['entire', 'amount', '.', 'He', 'would', 'take', 'his', 'pay', 'from', 'the', 'Third', 'National', 'brokerage', 'counter', 'in', 'packages', 'of', 'Virginia', ',', 'Ohio', ',', 'and', 'western', 'Pennsylvania', 'bank-notes', 'at', 'par', ',', 'because', 'he', 'made', 'his', 'disbursements', 'principally', 'in', 'those', 'States', '.', 'The', 'Third']"
3648,Pennsylvania,30.87324,-88.0475,"['would', 'take', 'his', 'pay', 'from', 'the', 'Third', 'National', 'brokerage', 'counter', 'in', 'packages', 'of', 'Virginia', ',', 'Ohio', ',', 'and', 'western', 'Pennsylvania', 'bank-notes', 'at', 'par', ',', 'because', 'he', 'made', 'his', 'disbursements', 'principally', 'in', 'those', 'States', '.', 'The', 'Third', 'National', 'would', 'in', 'the']"
3727,Washington,50.90487,-0.40649,"['another', 'man', 'his', 'father', 'talked', 'about', '--', 'one', 'Francis', 'J.', 'Grund', ',', 'a', 'famous', 'newspaper', 'correspondent', 'and', 'lobbyist', 'at', 'Washington', ',', 'who', 'possessed', 'the', 'faculty', 'of', 'unearthing', 'secrets', 'of', 'every', 'kind', ',', 'especially', 'those', 'relating', 'to', 'financial', 'legislation', '.', 'The']"
3796,Texas,30.88602,-89.272,"['been', 'about', ',', 'years', 'before', ',', 'purchasing', 'through', 'one', 'or', 'two', 'brokers', 'large', 'amounts', 'of', 'the', 'various', 'kinds', 'of', 'Texas', 'debt', 'certificates', 'and', 'bonds', '.', 'The', 'Republic', 'of', 'Texas', ',', 'in', 'its', 'struggle', 'for', 'independence', 'from', 'Mexico', ',', 'had', 'issued']"
3805,Republic of Texas,39.96258,-79.87671,"['or', 'two', 'brokers', 'large', 'amounts', 'of', 'the', 'various', 'kinds', 'of', 'Texas', 'debt', 'certificates', 'and', 'bonds', '.', 'The', 'Republic', 'of', 'Texas', ',', 'in', 'its', 'struggle', 'for', 'independence', 'from', 'Mexico', ',', 'had', 'issued', 'bonds', 'and', 'certificates', 'in', 'great', 'variety', ',', 'amounting', 'in']"
3813,Mexico,19.42847,-99.12766,"['kinds', 'of', 'Texas', 'debt', 'certificates', 'and', 'bonds', '.', 'The', 'Republic', 'of', 'Texas', ',', 'in', 'its', 'struggle', 'for', 'independence', 'from', 'Mexico', ',', 'had', 'issued', 'bonds', 'and', 'certificates', 'in', 'great', 'variety', ',', 'amounting', 'in', 'value', 'to', 'ten', 'or', 'fifteen', 'million', 'dollars', '.']"
3843,Texas,30.88602,-89.272,"['amounting', 'in', 'value', 'to', 'ten', 'or', 'fifteen', 'million', 'dollars', '.', 'Later', ',', 'in', 'connection', 'with', 'the', 'scheme', 'to', 'make', 'Texas', 'a', 'State', 'of', 'the', 'Union', ',', 'a', 'bill', 'was', 'passed', 'providing', 'a', 'contribution', 'on', 'the', 'part', 'of', 'the', 'United', 'States']"
3863,United States,37.99066,-81.4265,"['a', 'State', 'of', 'the', 'Union', ',', 'a', 'bill', 'was', 'passed', 'providing', 'a', 'contribution', 'on', 'the', 'part', 'of', 'the', 'United', 'States', 'of', 'five', 'million', 'dollars', ',', 'to', 'be', 'applied', 'to', 'the', 'extinguishment', 'of', 'this', 'old', 'debt', '.', 'Grund', 'knew', 'of', 'this']"
4022,Texas,30.88602,-89.272,"['big', 'eyes', 'glistened', '.', 'He', 'wondered', 'why', 'his', 'father', 'did', 'not', 'take', 'advantage', 'of', 'the', 'situation', 'and', 'buy', 'some', 'Texas', 'certificates', 'for', 'himself', '.', 'Grund', ',', 'so', 'his', 'father', 'said', ',', 'and', 'possibly', 'three', 'or', 'four', 'others', ',', 'had', 'made']"
4256,Cuba,22,-79.5,"['man', ')', 'high', 'hat', '.', 'Frank', 'was', 'fascinated', 'by', 'him', 'at', 'once', '.', 'He', 'had', 'been', 'a', 'planter', 'in', 'Cuba', 'and', 'still', 'owned', 'a', 'big', 'ranch', 'there', 'and', 'could', 'tell', 'him', 'tales', 'of', 'Cuban', 'life', '--', 'rebellions', ',', 'ambuscades', ',']"
4347,Southwark,51.5,-0.08333,"[',', 'a', 'bodyservant', ',', 'as', 'it', 'were', '.', 'He', 'shipped', 'raw', 'sugar', 'from', 'his', 'plantation', 'in', 'boat-loads', 'to', 'the', 'Southwark', 'wharves', 'in', 'Philadelphia', '.', 'Frank', 'liked', 'him', 'because', 'he', 'took', 'life', 'in', 'a', 'hearty', ',', 'jovial', 'way', ',', 'rather', 'rough']"
4350,Philadelphia,39.95233,-75.16379,"[',', 'as', 'it', 'were', '.', 'He', 'shipped', 'raw', 'sugar', 'from', 'his', 'plantation', 'in', 'boat-loads', 'to', 'the', 'Southwark', 'wharves', 'in', 'Philadelphia', '.', 'Frank', 'liked', 'him', 'because', 'he', 'took', 'life', 'in', 'a', 'hearty', ',', 'jovial', 'way', ',', 'rather', 'rough', 'and', 'offhand', 'for']"
4544,Cuba,22,-79.5,"['these', 'little', 'putty-faced', 'Philadelphians', ',', ""''"", 'he', 'continued', ',', '``', 'They', 'ought', 'to', 'come', 'down', 'to', 'my', 'ranch', 'in', 'Cuba', 'and', 'get', 'tanned', 'up', '.', 'That', 'would', 'take', 'away', 'this', 'waxy', 'look', '.', ""''"", 'And', 'he', 'pinched', 'the', 'cheek', 'of']"
4653,Europe,48.69096,9.14062,"['had', 'become', 'teller', 'the', 'family', 'had', 'acquired', 'a', 'piano', '--', 'a', 'decided', 'luxury', 'in', 'those', 'days', '--', 'brought', 'from', 'Europe', ';', 'and', 'it', 'was', 'intended', 'that', 'Anna', 'Adelaide', ',', 'when', 'she', 'was', 'old', 'enough', ',', 'should', 'learn', 'to', 'play', '.']"
4818,San Pedro,-15.51989,167.16235,"['your', 'hammock', '?', 'Do', ""n't"", 'you', 'string', 'a', 'hammock', 'here', 'in', 'summer', '?', 'Down', 'on', 'my', 'veranda', 'at', 'San', 'Pedro', 'I', 'have', 'six', 'or', 'seven', '.', ""''"", '``', 'We', 'had', ""n't"", 'thought', 'of', 'putting', 'one', 'up', 'because', 'of', 'the', 'neighbors']"
4995,Cuba,22,-79.5,"['him', 'after', 'me', '.', 'There', ""'s"", 'something', 'to', 'this', 'boy', '.', 'How', 'would', 'you', 'like', 'to', 'come', 'down', 'to', 'Cuba', 'and', 'be', 'a', 'planter', ',', 'my', 'boy', '?', ""''"", '``', 'I', ""'m"", 'not', 'so', 'sure', 'that', 'I', ""'d"", 'like', 'to']"
6188,Castile,42.62895,-78.05445,"['--', 'of', 'the', 'boy', ""'s"", 'expression', '.', '``', 'I', 'am', 'going', 'to', 'offer', 'you', 'now', 'a', 'fine', 'lot', 'of', 'Castile', 'soap', '--', 'seven', 'cases', ',', 'no', 'less', '--', 'which', ',', 'as', 'you', 'know', ',', 'if', 'you', 'know', 'anything', 'about', 'soap']"
6352,Castile,42.62895,-78.05445,"['called', 'a', 'third', '.', '``', 'Twenty-five', ',', ""''"", 'a', 'fourth', '.', 'Then', 'it', 'came', 'to', 'dollar', 'raises', ',', 'for', 'Castile', 'soap', 'was', 'not', 'such', 'a', 'vital', 'commodity', '.', '``', 'Twenty-six', '.', ""''"", '``', 'Twenty-seven', '.', ""''"", '``', 'Twenty-eight', '.', ""''""]"
6494,Castile,42.62895,-78.05445,"['I', ""'m"", 'bid', 'thirty', '!', 'I', ""'m"", 'bid', 'thirty', '!', 'I', ""'m"", 'bid', 'thirty', 'for', 'this', 'fine', 'lot', 'of', 'Castile', 'soap', '.', 'It', ""'s"", 'a', 'fine', 'lot', '.', 'It', ""'s"", 'worth', 'fourteen', 'cents', 'a', 'bar', '.', 'Will', 'any', 'one', 'bid']"
6581,Castile,42.62895,-78.05445,"['I', ""'m"", 'bid', 'thirty-two', '!', 'Will', 'anybody', 'bid', 'thirty-three', '?', 'It', ""'s"", 'fine', 'soap', '.', 'Seven', 'cases', 'of', 'fine', 'Castile', 'soap', '.', 'Will', 'anybody', 'bid', 'thirty-three', '?', ""''"", 'Young', 'Cowperwood', ""'s"", 'mind', 'was', 'working', '.', 'He', 'had', 'no', 'money', 'with']"
6872,Castile,42.62895,-78.05445,"['the', 'door', 'he', 'slowed', 'up', ',', 'put', 'on', 'a', 'nonchalant', 'air', ',', 'and', 'strolling', 'in', ',', 'looked', 'about', 'for', 'Castile', 'soap', '.', 'There', 'it', 'was', ',', 'the', 'same', 'kind', ',', 'displayed', 'in', 'a', 'box', 'and', 'looking', 'just', 'as', 'his', 'soap']"
7200,Castile,42.62895,-78.05445,"['you', 'want', 'to', 'do', 'with', 'it', '?', ""''"", '``', 'I', 'want', 'to', 'buy', 'some', 'soap', '--', 'seven', 'boxes', 'of', 'Castile', 'soap', '.', 'I', 'know', 'where', 'I', 'can', 'get', 'it', 'and', 'sell', 'it', '.', 'Mr.', 'Dalrymple', 'will', 'take', 'it', '.', 'He']"
9153,Third Street,-33.57917,151.30833,"['had', 'been', 'on', 'finance', ';', 'that', 'is', ',', 'in', 'the', 'form', 'in', 'which', 'he', 'saw', 'it', 'manifested', 'in', 'Third', 'Street', '.', 'There', 'had', 'been', 'odd', 'things', 'which', 'he', 'had', 'been', 'able', 'to', 'do', 'to', 'earn', 'a', 'little', 'money', 'now', 'and']"
9191,Southwark,51.5,-0.08333,"['now', 'and', 'then', '.', 'His', 'Uncle', 'Seneca', 'had', 'allowed', 'him', 'to', 'act', 'as', 'assistant', 'weigher', 'at', 'the', 'sugar-docks', 'in', 'Southwark', ',', 'where', 'three-hundred-pound', 'bags', 'were', 'weighed', 'into', 'the', 'government', 'bonded', 'warehouses', 'under', 'the', 'eyes', 'of', 'United', 'States', 'inspectors', '.', 'In']"
9208,United States,37.99066,-81.4265,"['sugar-docks', 'in', 'Southwark', ',', 'where', 'three-hundred-pound', 'bags', 'were', 'weighed', 'into', 'the', 'government', 'bonded', 'warehouses', 'under', 'the', 'eyes', 'of', 'United', 'States', 'inspectors', '.', 'In', 'certain', 'emergencies', 'he', 'was', 'called', 'to', 'assist', 'his', 'father', ',', 'and', 'was', 'paid', 'for', 'it', '.', 'He']"
9296,Philadelphia,39.95233,-75.16379,"['no', 'longer', 'continue', 'in', 'such', 'lowly', 'employment', '.', 'Just', 'at', 'this', 'time', 'his', 'Uncle', 'Seneca', ',', 'again', 'back', 'in', 'Philadelphia', 'and', 'stouter', 'and', 'more', 'domineering', 'than', 'ever', ',', 'said', 'to', 'him', 'one', 'day', ':', ""''"", 'Now', ',', 'Frank', ',', 'if']"
9498,Philadelphia,39.95233,-75.16379,"['was', 'married', 'now', ',', 'having', ',', 'because', 'of', 'his', 'wealth', ',', 'attracted', 'the', 'attention', 'of', 'a', 'poor', 'but', 'ambitious', 'Philadelphia', 'society', 'matron', ';', 'and', 'because', 'of', 'this', 'the', 'general', 'connections', 'of', 'the', 'Cowperwoods', 'were', 'considered', 'vastly', 'improved', '.', 'Henry', 'Cowperwood']"
9532,North Front Street,22.49471,114.13812,"['considered', 'vastly', 'improved', '.', 'Henry', 'Cowperwood', 'was', 'planning', 'to', 'move', 'with', 'his', 'family', 'rather', 'far', 'out', 'on', 'North', 'Front', 'Street', ',', 'which', 'commanded', 'at', 'that', 'time', 'a', 'beautiful', 'view', 'of', 'the', 'river', 'and', 'was', 'witnessing', 'the', 'construction', 'of', 'some', 'charming']"
9643,South Second Street,-6.33333,39.5,"['just', 'the', 'thing', 'to', 'start', 'him', 'off', 'right', '.', 'So', 'he', 'reported', 'to', 'that', 'organization', 'at', '74', 'South', 'Second', 'Street', 'one', 'day', 'in', 'June', ',', 'and', 'was', 'cordially', 'received', 'by', 'Mr.', 'Henry', 'Waterman', ',', 'Sr', '.', 'There', 'was', ',', 'he']"
10234,Second Street,-33.575,151.30833,"[""'s"", 'a', 'likely-looking', 'youth', '.', ""''"", 'Henry', 'got', 'up', 'and', 'walked', 'out', 'into', 'the', 'main', 'entrance', 'looking', 'into', 'Second', 'Street', '.', 'The', 'cool', 'cobble', 'pavements', ',', 'shaded', 'from', 'the', 'eastern', 'sun', 'by', 'the', 'wall', 'of', 'buildings', 'on', 'the', 'east', '--']"
11691,Cowperwood,,,"['gnarled', 'and', 'yet', 'pudgy', 'face', ',', 'and', 'little', 'eyes', 'that', 'peeked', 'out', 'shrewdly', 'through', 'fat', 'eyelids', ',', 'looked', 'at', 'Cowperwood', 'curiously', 'when', 'he', 'came', 'in', '.', '``', 'What', ""'s"", 'your', 'name', ',', 'young', 'man', '?', ""''"", 'he', 'asked', ',', 'leaning']"
11787,Walnut Street,41.5567,-89.59343,"['it', 'to', 'me', '.', ""''"", 'Cowperwood', 'hurried', 'out', '.', 'He', 'went', 'direct', 'to', 'a', 'firm', 'of', 'brokers', 'in', 'Walnut', 'Street', ',', 'with', 'whom', 'his', 'firm', 'dealt', ',', 'and', 'had', 'them', 'bid', 'in', 'the', 'grain', 'he', 'needed', 'at', 'prevailing', 'rates', '.']"
13340,Cuba,22,-79.5,"['does', ""n't"", 'stop', ',', 'is', 'going', 'to', 'cause', 'trouble', '.', ""''"", 'A', 'negro', 'slave', 'belonging', 'to', 'a', 'visitor', 'from', 'Cuba', 'had', 'just', 'been', 'abducted', 'and', 'set', 'free', ',', 'because', 'the', 'laws', 'of', 'Pennsylvania', 'made', 'freedom', 'the', 'right', 'of', 'any', 'negro']"
